,entities.urls,created_at,full_text,claim_text,fact_text,user.name,user.id,id,lang,real_fact
0,[],2020-05-22 13:49:57+00:00,"Claim-@Rohini_sgh claims in @thewire_in that the Dhaman-I ventilators at #Ahmedabad Civil Hospital are substandard and were purchased
#PIBFactCheck-#FakeNews According to Govt of Gujarat,the said ventilators were not purchased but donated &amp; are based on required medical standards https://t.co/5SCTeuznZK",Claim-@Rohini_sgh claims in @thewire_in that the Dhaman-I ventilators at #Ahmedabad Civil Hospital are substandard and were purchased,"#PIBFactCheck-#FakeNews According to Govt of Gujarat,the said ventilators were not purchased but donated &amp; are based on required medical standards https://t.co/5SCTeuznZK",PIB Fact Check,1.20763E+18,1.26383E+18,en,FALSE
1,[],2020-05-21 12:47:05+00:00,"RT @PIBAhmedabad: #PIBFactcheck:
Claim:The Gujarat Samachar shows figure of 8000 people per 1 lakh population being corona affected in Indi…",Claim:The Gujarat Samachar shows figure of 8000 people per 1 lakh population being corona affected in Indi…,,PIB Fact Check,1.20763E+18,1.26345E+18,en,FALSE
2,"[{'url': 'https://t.co/GMCdLIx2Ue', 'expanded_url': 'https://www.who.int/news-room/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings', 'display_url': 'who.int/news-room/q-a-…', 'indices': [154, 177]}]",2020-05-19 13:35:57+00:00,"Disinfecting public areas is necessary to prevent spread of #COVID19. What areas should be given priority for disinfection?

Find this and more FAQs on👇

https://t.co/GMCdLIx2Ue

#COVID19  #IndiaFightsCOVID19 https://t.co/tYwABdL2Nc",,,PIB Fact Check,1.20763E+18,1.26274E+18,en,FALSE
3,[],2020-05-19 13:12:04+00:00,"So you have come home after a quick trip to get groceries, and now wondering how to protect your family? 

Here is what the @WHO says you should do

#COVID19  #IndiaFightsCOVID19 https://t.co/MPDjhz5u6n",,,PIB Fact Check,1.20763E+18,1.26273E+18,en,FALSE
4,[],2020-05-19 13:08:37+00:00,"Do you clean food items bought from market to remove #COVID19 virus? 

No need, says @WHO, the virus does not spread through food or packaging https://t.co/TKuwKotp5k",,,PIB Fact Check,1.20763E+18,1.26273E+18,en,FALSE
5,[],2020-05-19 09:12:53+00:00,"Claim: Message circulating on Social Media with an image, of a woman riding a bicycle with baby on her back, attributing to Migrant situation in the country.

#PIBFactCheck: #Fake. The image is old and NOT from India. Beware of Old images &amp; videos being shared out of context. https://t.co/xjM5VT6ce7","Claim: Message circulating on Social Media with an image, of a woman riding a bicycle with baby on her back, attributing to Migrant situation in the country.",#PIBFactCheck: #Fake. The image is old and NOT from India. Beware of Old images &amp; videos being shared out of context. https://t.co/xjM5VT6ce7,PIB Fact Check,1.20763E+18,1.26267E+18,en,FALSE
6,[],2020-05-18 11:51:46+00:00,"Claim-A video of a woman with an infant travelling between train bogies is  circulating in social media stating these are migrants trying to go home during #Lockdown due to #Covid19India

#PIBFactCheck: #FakeNews. This is an old video from before 2016, from Bangladesh &amp; not India https://t.co/aXySNnTnBJ",Claim-A video of a woman with an infant travelling between train bogies is  circulating in social media stating these are migrants trying to go home during #Lockdown due to #Covid19India,"#PIBFactCheck: #FakeNews. This is an old video from before 2016, from Bangladesh &amp; not India https://t.co/aXySNnTnBJ",PIB Fact Check,1.20763E+18,1.26235E+18,en,FALSE
7,[],2020-05-17 06:33:59+00:00,"Claim - video of an overcrowded train is circulating on social media with a message claiming it is Shramik Special train carrying migrants from Mumbai to West Bengal

#PIBFactCheck- It's an old video of an overcrowded train in Bangladesh from the year 2018. The video is #Fake. https://t.co/LEKlFUkFjf",Claim - video of an overcrowded train is circulating on social media with a message claiming it is Shramik Special train carrying migrants from Mumbai to West Bengal,#PIBFactCheck- It's an old video of an overcrowded train in Bangladesh from the year 2018. The video is #Fake. https://t.co/LEKlFUkFjf,PIB Fact Check,1.20763E+18,1.26191E+18,en,FALSE
8,[],2020-05-16 13:12:06+00:00,"RT @PIB_Guwahati: Claim: Absence of some people from Agri Expo Reception cum Quarantine centre in Nagaland.

#FactCheck: #FakeNews
Dimapur…",RT @PIB_Guwahati: Claim: Absence of some people from Agri Expo Reception cum Quarantine centre in Nagaland.,,PIB Fact Check,1.20763E+18,1.26165E+18,en,FALSE
9,"[{'url': 'https://t.co/aBPARszpC0', 'expanded_url': 'https://pibindia.wordpress.com/2020/05/16/curbing-fake-news-doesnt-impinge-on-press-freedom', 'display_url': 'pibindia.wordpress.com/2020/05/16/cur…', 'indices': [228, 251]}]",2020-05-16 12:55:50+00:00,"'#FakeNews is not #PressFreedom' : Read on #PIBBlogs🖊️ the article by Union Minister @PrakashJavdekar on marked increase in the circulation of fake news  🔍 through the print, electronic and even more on Social Media platforms.

https://t.co/aBPARszpC0",,,PIB Fact Check,1.20763E+18,1.26164E+18,en,FALSE
